stationid,toxbatch,matrix,lab,species,dilution,treatment,concentration,concentrationunits,endpoint,labrep,result,resultunits,qacode,sampletypecode,fieldreplicate,samplecollectdate,comments,ObjectId
B18-10054,18-08-071,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,94.6,percentage,A,Grab,1,2018/08/09 07:00:00+00,,3664
B18-10054,18-08-071,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,90.6,percentage,A,Grab,1,2018/08/09 07:00:00+00,,3665
B18-10055,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,83.3,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3666
B18-10169,"18-09-028 to -030; -034",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,75,percentage,A,Grab,1,2018/09/11 07:00:00+00,,3667
B18-10055,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,68.5,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3668
B18-10055,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,72.8,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3669
B18-10169,"18-09-028 to -030; -034",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,75,percentage,A,Grab,1,2018/09/11 07:00:00+00,,3670
B18-10055,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,84.8,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3671
B18-10169,"18-09-028 to -030; -034",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,90,percentage,A,Grab,1,2018/09/11 07:00:00+00,,3672
B18-10055,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,76.8,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3673
B18-10169,"18-09-028 to -030; -034",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,90,percentage,A,Grab,1,2018/09/11 07:00:00+00,,3674
B18-10056,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,86.6,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3675
B18-10199,"18-08-070; -072; 073",Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,91.1,percentage,A,Grab,1,2018/08/08 07:00:00+00,,3676
B18-10170,"18-09-028 to -030; -034",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,90,percentage,A,Grab,1,2018/09/11 07:00:00+00,,3677
B18-10056,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,68.5,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3678
0000,180914mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,3,60.87,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,,3679
B18-10194,"18-08-070; -072; 073",Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,84.7,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3680
B18-10171,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,65,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3681
B18-10170,"18-09-028 to -030; -034",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/09/11 07:00:00+00,,3682
B18-10056,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,67.4,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3683
0000,180914mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,4,70.29,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,,3684
B18-10194,"18-08-070; -072; 073",Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,96.1,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3685
B18-10092,18-08-069,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,98,percentage,A,Grab,1,2018/08/08 07:00:00+00,,3686
B18-10172,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,95,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3687
B18-10170,"18-09-028 to -030; -034",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/09/11 07:00:00+00,,3688
B18-10170,"18-09-028 to -030; -034",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/09/11 07:00:00+00,,3689
B18-10170,"18-09-028 to -030; -034",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,Grab,1,2018/09/11 07:00:00+00,,3690
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,1,90,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3691
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,2,90,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3692
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3693
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3694
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3695
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3696
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3697
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3698
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,1,90,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3699
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3700
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3701
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3702
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3703
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3704
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3705
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,4,90,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3706
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,1,70,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3707
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,2,70,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3708
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,3,80,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3709
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,4,80,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3710
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,1,0,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3711
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,2,10,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3712
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,3,0,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3713
0000,181006eera,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,4,0,percentage,A,RFNH3,1,2018/10/06 07:00:00+00,,3714
0000,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,CNEG,1,2018/10/10 07:00:00+00,,3715
0000,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,CNEG,1,2018/10/10 07:00:00+00,,3716
0000,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,CNEG,1,2018/10/10 07:00:00+00,,3717
0000,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,CNEG,1,2018/10/10 07:00:00+00,,3718
0000,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,CNEG,1,2018/10/10 07:00:00+00,,3719
B18-10171,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,95,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3720
B18-10171,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,85,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3721
B18-10171,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,75,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3722
B18-10171,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,75,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3723
B18-10056,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,71.7,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3724
B18-10194,"18-08-070; -072; 073",Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,98.7,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3725
0000,180914mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,5,82.97,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,,3726
B18-10092,18-08-069,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,92.1,percentage,A,Grab,1,2018/08/08 07:00:00+00,,3727
B18-10056,18-09-011 to -012,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,76.1,percentage,A,Grab,1,2018/08/16 07:00:00+00,,3728
B18-10194,"18-08-070; -072; 073",Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,93.1,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3729
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,75,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3730
0000,180914mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,1,76.45,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,,3731
B18-10172,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3732
B18-10194,"18-08-070; -072; 073",Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,96.8,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3733
0000,18-09-013,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,90.9,percentage,A,CNEG,1,2018/09/14 07:00:00+00,,3734
0000,180914mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,2,45.34,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,,3735
B18-10172,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,85,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3736
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,95,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3737
B18-10174,"18-08-070; -072; 073",Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,88.2,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3738
0000,180914mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,3,38.77,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,,3739
0000,18-09-013,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,85.9,percentage,A,CNEG,1,2018/09/14 07:00:00+00,,3740
B18-10172,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3741
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3742
B18-10174,"18-08-070; -072; 073",Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,96.1,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3743
0000,180914mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,4,27.17,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,,3744
0000,18-09-013,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,81.9,percentage,A,CNEG,1,2018/09/14 07:00:00+00,,3745
B18-10172,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,90,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3746
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3747
B18-10174,"18-08-070; -072; 073",Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,90.6,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3748
0000,180914mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,5,52.9,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,,3749
0000,18-09-013,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,76.1,percentage,A,CNEG,1,2018/09/14 07:00:00+00,,3750
B18-10173,"18-09-031 to -033; 18-10-006; -008 to -010",Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,75,percentage,A,Grab,1,2018/09/12 07:00:00+00,,3751
B18-10182,18-10-001 to -005,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,90.7,percentage,A,Grab,1,2018/09/19 07:00:00+00,,3752
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3753
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,85,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3754
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,95,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3755
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3756
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3757
0000,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,90,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3758
B18-10194,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,85,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3759
B18-10194,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,95,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3760
B18-10194,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3761
B18-10194,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3762
B18-10194,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3763
B18-10174,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,95,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3764
B18-10174,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3765
B18-10174,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3766
B18-10174,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3767
B18-10174,18-08-080 to -081,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,Grab,1,2018/08/10 07:00:00+00,,3768
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,90,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3769
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,90,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3770
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3771
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3772
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,85,percentage,A,CNEG,1,2018/08/22 07:00:00+00,,3773
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,85,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3774
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,95,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3775
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3776
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3777
0000,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,90,percentage,A,QA,1,2018/08/22 07:00:00+00,Grain Size Control,3778
B18-10199,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,90,percentage,A,Grab,1,2018/08/08 07:00:00+00,,3779
B18-10199,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/08/08 07:00:00+00,,3780
B18-10199,18-08-078,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/08/08 07:00:00+00,,3781
